iter	Passed	Remaining
329	6271	3230
330	6284	3208
331	6297	3186
332	6310	3164
333	6324	3143
334	6337	3121
335	6363	3106
336	6413	3102
337	6427	3080
338	6441	3059
339	6455	3038
340	6469	3016
341	6482	2994
342	6495	2973
343	6509	2951
344	6522	2930
345	6535	2908
346	6548	2887
347	6561	2865
348	6574	2844
349	6587	2823
350	6600	2801
351	6614	2780
352	6650	2769
353	6664	2748
354	6678	2727
355	6691	2706
356	6704	2685
357	6719	2665
358	6736	2645
359	6749	2624
360	6762	2604
361	6776	2583
362	6790	2562
363	6804	2542
364	6817	2521
365	6832	2501
366	6845	2480
367	6873	2465
368	7011	2489
369	7042	2474
370	7061	2455
371	7075	2434
372	7099	2417
373	7116	2397
374	7135	2378
375	7162	2362
376	7179	2342
377	7198	2323
378	7223	2306
379	7241	2286
380	7260	2267
381	7322	2261
382	7345	2244
383	7366	2225
384	7390	2207
385	7409	2188
386	7429	2169
387	7445	2149
388	7467	2130
389	7485	2111
390	7500	2090
391	7518	2071
392	7532	2050
393	7554	2032
394	7571	2012
395	7591	1993
396	7616	1976
397	7631	1955
398	7650	1936
399	7666	1916
400	7684	1897
401	7700	1877
402	7716	1857
403	7733	1837
404	7760	1820
405	7777	1800
406	7792	1780
407	7811	1761
408	7827	1741
409	7846	1722
410	7874	1705
411	7891	1685
412	7911	1666
413	7929	1647
414	7948	1628
415	7971	1609
416	7986	1589
417	8005	1570
418	8020	1550
419	8038	1531
420	8093	1518
421	8146	1505
422	8211	1494
423	8253	1479
424	8333	1470
425	8390	1457
426	8429	1441
427	8461	1423
428	8474	1402
429	8490	1382
430	8503	1361
431	8519	1341
432	8542	1321
433	8559	1301
434	8572	1280
435	8591	1261
436	8604	1240
437	8622	1220
438	8635	1199
439	8655	1180
440	8668	1159
441	8685	1139
442	8699	1119
443	8720	1099
444	8733	1079
445	8750	1059
446	8763	1039
447	8783	1019
448	8795	999
449	8809	978
450	8827	959
451	8850	939
452	8867	920
453	8884	900
454	8902	880
455	8925	861
456	8942	841
457	8955	821
458	8974	801
459	8991	781
460	9007	762
461	9020	741
462	9039	722
463	9052	702
464	9068	682
465	9082	662
466	9102	643
467	9115	623
468	9132	603
469	9146	583
470	9166	564
471	9179	544
472	9197	525
473	9210	505
474	9230	485
475	9251	466
476	9273	447
477	9297	427
478	9313	408
479	9331	388
480	9346	369
481	9363	349
482	9379	330
483	9397	310
484	9412	291
485	9430	271
486	9446	252
487	9464	232
488	9480	213
489	9498	193
490	9512	174
491	9528	154
492	9552	135
493	9565	116
494	9583	96
495	9596	77
496	9616	58
497	9628	38
498	9645	19
499	9658	0
