iter	Logloss
457	0.1394424782
458	0.1393165573
459	0.1392137402
460	0.1390555638
461	0.1389374067
462	0.138846454
463	0.1387585394
464	0.1385557307
465	0.1383946914
466	0.1382764342
467	0.1381366359
468	0.1380067893
469	0.137800355
470	0.1376667828
471	0.13752996
472	0.1373337523
473	0.137247488
474	0.1370576189
475	0.1369618154
476	0.136905156
477	0.1367706336
478	0.1365793143
479	0.136487149
480	0.1363846194
481	0.1362434959
482	0.1360447754
483	0.1359279684
484	0.1358628201
485	0.135739137
486	0.1355124493
487	0.1353976802
488	0.1352947005
489	0.1351722677
490	0.1350003141
491	0.1348844698
492	0.1348023686
493	0.1346868119
494	0.1345862201
495	0.1344982305
496	0.1343322404
497	0.1342235098
498	0.1340785857
499	0.1339493892
